text,accident_type,action
"야간 고속도로에서 차량 2대 추돌, 운전자 부상 없음","추돌사고","사고 지점 후방에 안전 삼각대 설치 및 2차 사고 예방"
"새벽 3시, 폭설로 인해 도로가 마비되고 차량 다중 추돌 발생","자연재해","주요 도로 제설 작업 및 우회로 안내, 견인차 대기"
"오전 출근길, 교차로에서 신호 위반으로 인한 오토바이와 승용차 접촉 사고","교통법규위반","사고 현장 사진 촬영 및 보험사 연락, 경찰 신고"
"빗길 운전 중 커브길에서 차량 미끄러짐 사고, 가드레일 파손","단독사고","운전자 안전 확보 후 즉시 도로 관리자에게 연락"
"터널 내부에서 화물차 타이어 펑크로 정체 발생","차량결함","터널 내 비상 주차 공간으로 차량 이동 및 후방에 사고 사실 고지"
"음주운전 의심 차량이 중앙선 침범하여 마주오던 차량과 충돌","음주/난폭운전","즉시 112 신고 및 부상자 확인, 현장 증거 확보"
"어린이 보호구역에서 보행자 갑자기 튀어나와 급정거, 뒷차와 추돌","추돌사고","어린이 보호구역 서행 운전 캠페인 및 단속 강화"
"겨울철 블랙 아이스로 인해 차량 5중 추돌 사고 발생","자연재해","기상 특보 발령 및 위험 구간 순찰 강화, 염화칼슘 도포"
"고속도로 1차선에서 졸음운전으로 앞차 추돌","음주/난폭운전","졸음운전 예방 캠페인 및 졸음 쉼터 안내 강화"
"안개 낀 국도에서 시야 확보 어려움으로 인한 연쇄 추돌","자연재해","안개 발생 시 감속 운행 및 비상등 점등 안내 방송"
"스쿨존에서 불법 주정차 차량 때문에 시야 가려져 자전거와 충돌","교통법규위반","스쿨존 내 불법 주정차 집중 단속 및 견인 조치"
"고속도로 진입로에서 무리한 끼어들기로 인한 접촉 사고","교통법규위반","고속도로 진입로 CCTV 모니터링 및 난폭운전 단속"
"장마철 폭우로 도로 침수, 차량 시동 꺼짐 사고 다수 발생","자연재해","침수 위험 지역 차량 통제 및 대중교통 이용 권장"
"화물차에서 떨어진 낙하물로 인해 뒷따르던 차량 급정거 및 파손","차량결함","화물차 적재 불량 단속 강화 및 안전 교육 실시"
"밤 늦은 시각, 신호 없는 교차로에서 직진 차량과 좌회전 차량 충돌","교통법규위반","위험 교차로에 신호등 또는 점멸등 설치 검토"
"눈 내리는 언덕길에서 브레이크 밀림으로 인한 다중 추돌","자연재해","언덕길 및 상습 결빙 구간에 자동 염수 분사 장치 설치"
"차량 정비 불량으로 고속도로 주행 중 엔진 과열로 정차","차량결함","출발 전 차량 점검 의무화 캠페인 및 정비소 할인 혜택 제공"
"야생동물 갑자기 도로에 나타나 급브레이크, 차량 단독 사고","단독사고","야생동물 출몰 잦은 구역에 경고 표지판 및 울타리 설치"
"터널 출구 부근에서 앞차의 급정거로 인한 3중 추돌","추돌사고","터널 내 안전거리 확보 및 전광판 안내 강화"
"만취 운전자가 역주행하여 정상 주행 차량과 정면 충돌","음주/난폭운전","음주운전 단속 강화 및 처벌 수위 상향 조정"
